epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
5 (0.0399887580755478, 0.08377518557794274) (0.013812091869359357, 0.031813361611876985)
10 (0.17970133573016023, 0.33085896076352067) (0.10987323496048007, 0.20572640509013787)
15 (0.2651668992972137, 0.4591728525980912) (0.15393813843656737, 0.28950159066808057)
20 (0.33228922027240504, 0.5440084835630965) (0.20095532164072416, 0.34994697773064687)
25 (0.38408725975177926, 0.6139978791092259) (0.2387041413053598, 0.4178154825026511)
30 (0.4117729557273083, 0.6383881230116649) (0.26255787495131955, 0.4411452810180276)
35 (0.4231079713504268, 0.6659597030752916) (0.28422900038228743, 0.4909862142099682)
40 (0.45744928318030187, 0.7051961823966065) (0.31568866814030294, 0.5249204665959704)
45 (0.47080960807832206, 0.7327677624602333) (0.3280579818325733, 0.545068928950159)
50 (0.4860584902464777, 0.7454931071049841) (0.3507289010154599, 0.5790031813361611)
55 (0.5019965386331039, 0.76033934252386) (0.36292426545494266, 0.5853658536585366)
60 (0.5161422709830115, 0.7762460233297985) (0.367184344865368, 0.6023329798515377)
65 (0.5100954969479402, 0.7720042417815483) (0.3737980374081796, 0.5970307529162248)
70 (0.5276935544648734, 0.7857900318133616) (0.3854726484752001, 0.6129374337221634)
75 (0.5297270104132864, 0.7932131495227995) (0.3967130734417203, 0.6277836691410392)
80 (0.5357243179820357, 0.7974549310710498) (0.39063508067463054, 0.6267232237539767)
85 (0.5444561512583137, 0.8006362672322376) (0.40725225386481867, 0.6436903499469777)
90 (0.5500404042971061, 0.8016967126193001) (0.41511692343933226, 0.6606574761399788)
95 (0.5470727018563675, 0.8218451749734889) (0.41142957894122995, 0.6511134676564156)
100 (0.5598161859721179, 0.8207847295864263) (0.418564430865522, 0.6670201484623541)
105 (0.5718730523979149, 0.8303287380699894) (0.4231529970539785, 0.6733828207847296)
110 (0.5645111562246192, 0.8207847295864263) (0.43306720469554927, 0.6733828207847296)
115 (0.5738364884609609, 0.8356309650053022) (0.427572821576079, 0.679745493107105)
120 (0.5768939895244102, 0.8377518557794273) (0.4339463854437251, 0.6861081654294804)
125 (0.5736066781744875, 0.8419936373276776) (0.4370493513244663, 0.6998939554612937)
130 (0.5833284159435758, 0.8472958642629904) (0.43919583777556914, 0.6967126193001061)
135 (0.5839769894032639, 0.8218451749734889) (0.43751604940335187, 0.6882290562036055)
140 (0.5845924733439012, 0.8451749734888653) (0.44208215179064175, 0.7051961823966065)
145 (0.5876150814789518, 0.848356309650053) (0.44768318735313045, 0.6988335100742312)
150 (0.5918796594842233, 0.848356309650053) (0.43536449980608377, 0.6935312831389183)
155 (0.5868060877812772, 0.8568398727465536) (0.4547254427109516, 0.7083775185577943)
160 (0.5907099702095518, 0.8579003181336161) (0.453036510328044, 0.7200424178154825)
165 (0.5961605805577302, 0.8525980911983033) (0.46038107930985106, 0.7073170731707317)
170 (0.5969589269524389, 0.8494167550371156) (0.4563338477620453, 0.7200424178154825)
175 (0.5915729640637511, 0.8579003181336161) (0.4510868454535933, 0.704135737009544)
180 (0.5966905109357006, 0.8409331919406151) (0.4577974020137278, 0.7020148462354189)
185 (0.6055072724524297, 0.8504772004241782) (0.4560010996369894, 0.6977730646871686)
190 (0.6063114594842136, 0.8589607635206787) (0.45894599791118595, 0.6956521739130435)
195 (0.5966135450724739, 0.8525980911983033) (0.45700044490469865, 0.7179215270413574)
200 (0.6012472008894791, 0.855779427359491) (0.4598913659048396, 0.7083775185577943)
205 (0.5974398348273632, 0.8494167550371156) (0.46823194179914707, 0.721102863202545)
210 (0.6044156878332685, 0.8568398727465536) (0.4608997667844687, 0.711558854718982)
215 (0.6030003658118399, 0.8451749734888653) (0.4518676794045711, 0.6924708377518558)
220 (0.6070556755109872, 0.8600212089077413) (0.45886538602010196, 0.704135737009544)
225 (0.6103402944849585, 0.8536585365853658) (0.47006856704958333, 0.7094379639448568)
230 (0.6034980869843719, 0.8621420996818664) (0.46781123214049536, 0.7147401908801697)
235 (0.6126552607127959, 0.8663838812301167) (0.46467468117481264, 0.7083775185577943)
240 (0.6162171744672179, 0.8610816542948038) (0.46846846030822, 0.7168610816542949)
245 (0.6095582747515227, 0.8472958642629904) (0.4713017739475884, 0.7104984093319194)
250 (0.6041834204430764, 0.8600212089077413) (0.4750206232352307, 0.7179215270413574)
255 (0.6148474235636605, 0.8547189819724285) (0.47267415430415904, 0.7030752916224814)
260 (0.609012959644181, 0.855779427359491) (0.48057793067518356, 0.7168610816542949)
265 (0.6038324907642586, 0.8589607635206787) (0.4666864330892398, 0.7221633085896076)
270 (0.6120656200678749, 0.8589607635206787) (0.4618490264611651, 0.6998939554612937)
275 (0.6143457389506409, 0.8579003181336161) (0.4756358142808343, 0.7158006362672322)
280 (0.609420207233835, 0.855779427359491) (0.4647398982235336, 0.704135737009544)
285 (0.6116590093911107, 0.8504772004241782) (0.46961224119356804, 0.7009544008483564)
290 (0.6046338250042543, 0.8525980911983033) (0.4698708860173933, 0.7126193001060446)
290Early Stopping Triggered
