epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
5 (0.04549772808271197, 0.10180275715800637) (0.014075675689899368, 0.036055143160127257)
10 (0.1990995366005152, 0.3404029692470838) (0.12620643152878167, 0.22799575821845175)
15 (0.28169440802436085, 0.45811240721102864) (0.17653498108103274, 0.30434782608695654)
20 (0.33881223627547363, 0.5418875927889714) (0.20561924758812541, 0.3647932131495228)
25 (0.37948884893125684, 0.601272534464475) (0.25101272719344114, 0.4284199363732768)
30 (0.4052489812933529, 0.6182396606574762) (0.26333186874514314, 0.45387062566277836)
35 (0.42921160084505366, 0.6659597030752916) (0.2818181116935265, 0.48250265111346763)
40 (0.43423147637591375, 0.6765641569459173) (0.3025500878776301, 0.5121951219512195)
45 (0.45863158646025837, 0.6988335100742312) (0.3159829019797794, 0.5387062566277837)
50 (0.4643004303749194, 0.7147401908801697) (0.33419608197270245, 0.5577942735949099)
55 (0.49965086157047517, 0.7348886532343585) (0.3497006454347652, 0.5811240721102863)
60 (0.49872339235764024, 0.7571580063626723) (0.3605809486934122, 0.6086956521739131)
65 (0.5091748775845386, 0.767762460233298) (0.3776120448392974, 0.6086956521739131)
70 (0.519239809907767, 0.7815482502651113) (0.3834114848953789, 0.6182396606574762)
75 (0.5342788388658232, 0.7783669141039237) (0.39120277275329257, 0.6341463414634146)
80 (0.5392278966106291, 0.7974549310710498) (0.3993545668054212, 0.647932131495228)
85 (0.5339977590569845, 0.8027571580063627) (0.4096977159773992, 0.6468716861081655)
90 (0.5448811155613232, 0.8080593849416755) (0.4127455675204281, 0.6500530222693531)
95 (0.5504764140594142, 0.8101802757158006) (0.4212933498038547, 0.6659597030752916)
100 (0.5565990408557219, 0.8154825026511134) (0.42080551417200257, 0.6691410392364793)
