epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
5 (0.0441538325323175, 0.09544008483563096) (0.01959550781563551, 0.05090137857900318)
10 (0.168003315642971, 0.31283138918345704) (0.09516188035179172, 0.19406150583244963)
15 (0.2475686896692054, 0.4252386002120891) (0.14533088769836733, 0.27465535524920465)
20 (0.31118889388263254, 0.5068928950159067) (0.19189487686088558, 0.34358430540827145)
25 (0.36708873279165766, 0.5800636267232238) (0.2255716718442633, 0.38176033934252385)
30 (0.38936639552082214, 0.6139978791092259) (0.2574738838006224, 0.4443266171792153)
35 (0.42933881519680694, 0.6680805938494168) (0.28465464862162065, 0.4941675503711559)
40 (0.4561085420815939, 0.7147401908801697) (0.3171772599094123, 0.5238600212089077)
45 (0.4754791851914809, 0.7179215270413574) (0.3253249174398931, 0.5440084835630965)
50 (0.4795394129075411, 0.7380699893955461) (0.33015347802269157, 0.5588547189819725)
55 (0.4956428197009327, 0.7582184517497349) (0.35438381430108834, 0.5800636267232238)
60 (0.5141762883162599, 0.782608695652174) (0.37227846242044393, 0.6171792152704135)
65 (0.5125063744032244, 0.7783669141039237) (0.37478036782205837, 0.623541887592789)
70 (0.5309492528619331, 0.7900318133616119) (0.3833879345700533, 0.633085896076352)
75 (0.5294849857797899, 0.7900318133616119) (0.39329837156929315, 0.6394485683987274)
80 (0.5282873914568907, 0.8027571580063627) (0.3929491248486908, 0.6394485683987274)
85 (0.5471892722140215, 0.8006362672322376) (0.41246605543714243, 0.6606574761399788)
90 (0.5549841630431853, 0.8250265111346765) (0.4313083487766585, 0.6808059384941676)
95 (0.5526885247397844, 0.8112407211028632) (0.43342020116605035, 0.6808059384941676)
100 (0.5646621515203506, 0.8313891834570519) (0.4280382990950131, 0.6808059384941676)
105 (0.5603172443524342, 0.8271474019088016) (0.4368255145956429, 0.6850477200424178)
110 (0.5699947470236294, 0.8271474019088016) (0.4232221785210602, 0.6659597030752916)
115 (0.5857075385732962, 0.8451749734888653) (0.4483689867862019, 0.6998939554612937)
120 (0.5745283032227624, 0.8356309650053022) (0.4461441992283423, 0.689289501590668)
125 (0.5799646072424844, 0.8419936373276776) (0.44894354164339667, 0.6988335100742312)
130 (0.579934523012802, 0.8366914103923648) (0.4474299880514644, 0.7051961823966065)
135 (0.5848856433861627, 0.8462354188759279) (0.4527623048399032, 0.6977730646871686)
140 (0.5927528519903308, 0.8419936373276776) (0.45850886364452825, 0.711558854718982)
145 (0.59840567737262, 0.848356309650053) (0.46195809706780233, 0.7104984093319194)
150 (0.587140700125927, 0.8547189819724285) (0.4570928548610547, 0.7126193001060446)
155 (0.593772694983327, 0.8356309650053022) (0.4580970336435504, 0.7158006362672322)
