epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
160 (0.5852273594330896, 0.8494167550371156) (0.46182208214955517, 0.7104984093319194)
165 (0.5944625474242766, 0.848356309650053) (0.462264707668805, 0.7200424178154825)
170 (0.5915835367498933, 0.8419936373276776) (0.4545195873065438, 0.7073170731707317)
175 (0.5968195164713653, 0.8515376458112407) (0.4669493369143032, 0.7136797454931071)
180 (0.5963648051114214, 0.848356309650053) (0.465134042652394, 0.7221633085896076)
185 (0.6038245939312755, 0.8547189819724285) (0.46538949879376834, 0.7158006362672322)
190 (0.6092309249975412, 0.855779427359491) (0.4714729171282611, 0.7242841993637328)
195 (0.6072870326541514, 0.8547189819724285) (0.4678499863809084, 0.721102863202545)
200 (0.6044067606119584, 0.8494167550371156) (0.4654185861040537, 0.7147401908801697)
205 (0.5951609583703302, 0.8441145281018028) (0.4731009819011748, 0.7168610816542949)
210 (0.6102024560258477, 0.8589607635206787) (0.47439541765276166, 0.7104984093319194)
215 (0.6133017085062571, 0.8621420996818664) (0.4789871240207527, 0.71898197242842)
220 (0.5990623247669344, 0.8547189819724285) (0.46745249832184144, 0.7200424178154825)
225 (0.606007348346735, 0.8515376458112407) (0.4623145850951327, 0.7126193001060446)
230 (0.6094239817182375, 0.8472958642629904) (0.4696023578692432, 0.7168610816542949)
235 (0.6111857445763138, 0.8568398727465536) (0.4731506873800406, 0.7083775185577943)
240 (0.6053260840904585, 0.848356309650053) (0.477892632300273, 0.7179215270413574)
245 (0.6203969192676002, 0.8547189819724285) (0.47064765750144544, 0.711558854718982)
250 (0.612511477142178, 0.8504772004241782) (0.47578926089548, 0.7147401908801697)
255 (0.6061839677727138, 0.8494167550371156) (0.4793619482042883, 0.7200424178154825)
260 (0.6250948238976038, 0.8515376458112407) (0.47665550370427273, 0.7158006362672322)
265 (0.616148268145964, 0.8451749734888653) (0.478604829787595, 0.7168610816542949)
270 (0.6163186144222548, 0.8515376458112407) (0.48040797946989916, 0.721102863202545)
275 (0.6137515647083895, 0.8536585365853658) (0.47307442187852833, 0.7126193001060446)
280 (0.616874332065486, 0.8525980911983033) (0.4716274973071081, 0.7158006362672322)
285 (0.6109622288226848, 0.8525980911983033) (0.48009812683858066, 0.7158006362672322)
290 (0.6102413460378843, 0.8589607635206787) (0.4747689063458229, 0.7083775185577943)
295 (0.6049916213271005, 0.8515376458112407) (0.46748899965019514, 0.7136797454931071)
300 (0.6121376862844582, 0.8472958642629904) (0.4810388262993776, 0.7051961823966065)
305 (0.6163612928602029, 0.855779427359491) (0.4814734608943136, 0.7200424178154825)
310 (0.615132477717636, 0.8430540827147401) (0.47683891010096996, 0.721102863202545)
315 (0.620921679427917, 0.8621420996818664) (0.47271222519725575, 0.7126193001060446)
320 (0.6308798104532752, 0.855779427359491) (0.4643993436020895, 0.7020148462354189)
325 (0.6197799823989656, 0.8494167550371156) (0.4745538381427416, 0.7104984093319194)
330 (0.6101804239273294, 0.8515376458112407) (0.4802836740880082, 0.711558854718982)
335 (0.6102255030446757, 0.8547189819724285) (0.4768073074514109, 0.7126193001060446)
340 (0.6140757485250312, 0.8462354188759279) (0.47809832278076303, 0.7158006362672322)
345 (0.6197775190203771, 0.8547189819724285) (0.4743173441927218, 0.7030752916224814)
350 (0.6182892456108975, 0.8494167550371156) (0.478456805667703, 0.7147401908801697)
355 (0.6111096513451402, 0.8451749734888653) (0.4764266846930699, 0.7073170731707317)
360 (0.6131588450808175, 0.8472958642629904) (0.47737585934536664, 0.7083775185577943)
365 (0.6108001624845429, 0.8430540827147401) (0.47807810596612865, 0.711558854718982)
370 (0.6114673278692082, 0.8504772004241782) (0.485863160291271, 0.7221633085896076)
375 (0.6127962089495752, 0.8472958642629904) (0.4775970188207483, 0.7221633085896076)
380 (0.6227022376924226, 0.8579003181336161) (0.4804320586976067, 0.7083775185577943)
385 (0.6159817143129671, 0.8536585365853658) (0.4837682354546538, 0.71898197242842)
390 (0.6185757857340226, 0.848356309650053) (0.47971462873061493, 0.7232237539766702)
395 (0.6319659072939827, 0.855779427359491) (0.47998187706656165, 0.7083775185577943)
400 (0.6080595863902015, 0.8494167550371156) (0.4823810895691771, 0.7136797454931071)
