epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
5 (0.042977463876211555, 0.10392364793213149) (0.019271519589233097, 0.04984093319194061)
10 (0.20013870712311782, 0.3605514316012725) (0.12860375601785465, 0.2417815482502651)
15 (0.2801340537146138, 0.471898197242842) (0.17994156920022214, 0.3181336161187699)
20 (0.3368278739355669, 0.5418875927889714) (0.20921211084963715, 0.3647932131495228)
25 (0.37408992682587316, 0.5832449628844114) (0.2344732598915787, 0.40721102863202546)
30 (0.39537669594403796, 0.6246023329798516) (0.2548080765467836, 0.44750795334040294)
35 (0.4172111200267023, 0.6553552492046659) (0.2723350539676322, 0.46553552492046657)
40 (0.4223001287584668, 0.672322375397667) (0.30024704274973185, 0.5100742311770944)
45 (0.45628829196580145, 0.7179215270413574) (0.3060021225171325, 0.5227995758218452)
50 (0.47400599186626247, 0.7232237539766702) (0.32825606865853796, 0.5535524920466596)
55 (0.48581226215947393, 0.7454931071049841) (0.33780897921442354, 0.574761399787911)
60 (0.4920418129018974, 0.7465535524920467) (0.3385176356995949, 0.574761399787911)
65 (0.504765478606161, 0.7667020148462355) (0.36852702218823274, 0.6023329798515377)
70 (0.5120036257122386, 0.7709437963944857) (0.3717515412263788, 0.6150583244962884)
75 (0.5243346354645941, 0.7857900318133616) (0.37061192683239164, 0.6150583244962884)
80 (0.5252095317734451, 0.7942735949098622) (0.38632343141393005, 0.6288441145281018)
85 (0.5331067881809873, 0.7857900318133616) (0.3926901647059023, 0.623541887592789)
90 (0.5421113387835624, 0.8016967126193001) (0.3898860258593777, 0.6341463414634146)
95 (0.5540655722251218, 0.8059384941675504) (0.41127970915240636, 0.6489925768822906)
100 (0.5560594314933469, 0.8229056203605515) (0.41548337429327403, 0.6648992576882291)
105 (0.5594066521573406, 0.8165429480381761) (0.4302197117156287, 0.662778366914104)
110 (0.5549791159711881, 0.8271474019088016) (0.41916792464736585, 0.6617179215270413)
115 (0.5756210231176577, 0.8271474019088016) (0.4182015013633567, 0.662778366914104)
120 (0.5773838285481366, 0.8335100742311771) (0.424169477367453, 0.6733828207847296)
125 (0.5657978150662956, 0.8260869565217391) (0.4364634498989232, 0.6744432661717922)
130 (0.5714620992609283, 0.8324496288441146) (0.42913047750716826, 0.6733828207847296)
135 (0.5721802625183267, 0.8271474019088016) (0.4394908405801298, 0.6765641569459173)
140 (0.5768228037616073, 0.8313891834570519) (0.438209419015016, 0.6776246023329798)
145 (0.5775326624402828, 0.8398727465535525) (0.4334077347653658, 0.6829268292682927)
150 (0.5790808791770655, 0.8324496288441146) (0.43882170958506844, 0.679745493107105)
155 (0.5912923344206036, 0.8419936373276776) (0.4536650008137806, 0.6882290562036055)
160 (0.5898033549455143, 0.8441145281018028) (0.44958830705077313, 0.6882290562036055)
165 (0.5838809899082025, 0.8366914103923648) (0.4496360935878185, 0.6829268292682927)
170 (0.6061006298827194, 0.848356309650053) (0.44861185708439183, 0.6914103923647932)
175 (0.5939588366586996, 0.8515376458112407) (0.4507405862129079, 0.6882290562036055)
180 (0.5915369394352735, 0.83881230116649) (0.44403655118835156, 0.6861081654294804)
185 (0.5926345992443781, 0.8398727465535525) (0.4562514286488659, 0.6988335100742312)
190 (0.6026943525058244, 0.8441145281018028) (0.4557419066868506, 0.694591728525981)
195 (0.5950767433318477, 0.8515376458112407) (0.45727134052163865, 0.6988335100742312)
200 (0.6040944726768692, 0.8504772004241782) (0.45143268581930474, 0.6988335100742312)
