epoch (val_ndcg, val_hr, val_loss) (test_ndcg, test_hr)
32 (0.5398338890449143, 0.7953340402969247, 1.1612380925883972) (0.40547520012968596, 0.647932131495228)
33 (0.5480679187633649, 0.8059384941675504, 1.099397579974407) (0.4144042757808372, 0.6532343584305408)
34 (0.5448064493655351, 0.8154825026511134, 1.0857164874230438) (0.41240076272271514, 0.6585365853658537)
35 (0.5503836912468734, 0.8144220572640509, 1.1471753911937914) (0.4189759435900922, 0.6691410392364793)
36 (0.5621693617875242, 0.8154825026511134, 1.1655629754416084) (0.4147527179869456, 0.6659597030752916)
37 (0.5440582303757157, 0.8059384941675504, 1.163703264526367) (0.4168881305898277, 0.6606574761399788)
38 (0.564482255318383, 0.809119830328738, 1.1928253696711926) (0.4131840174555507, 0.6617179215270413)
39 (0.5558394777154186, 0.8101802757158006, 1.1675882085808182) (0.42771951853701634, 0.662778366914104)
40 (0.5528846016768565, 0.8059384941675504, 1.20553016246811) (0.4177250254348094, 0.6415694591728526)
41 (0.5445952752189375, 0.8133616118769883, 1.2859972843609964) (0.41727058192194005, 0.6606574761399788)
42 (0.555362403227789, 0.806998939554613, 1.3221098815909689) (0.4153131171941934, 0.6606574761399788)
43 (0.5430947083835485, 0.7985153764581124, 1.398469811554283) (0.4101322703913012, 0.6415694591728526)
44 (0.5497534279954999, 0.8165429480381761, 1.2613812300178082) (0.41671571467495994, 0.6574761399787911)
45 (0.5533609749231077, 0.8101802757158006, 1.3144063327475308) (0.42893543365567005, 0.6595970307529162)
46 (0.5518081206826992, 0.809119830328738, 1.297735228507423) (0.439745974578122, 0.6712619300106044)
47 (0.5656912418022896, 0.8176033934252386, 1.2912239665392695) (0.427846137049855, 0.6744432661717922)
48 (0.5714759217958738, 0.8133616118769883, 1.322529886822559) (0.4321428377285943, 0.6712619300106044)
49 (0.5630801513406465, 0.8207847295864263, 1.3253778493178026) (0.42265907189258217, 0.6468716861081655)
50 (0.5793843390764312, 0.823966065747614, 1.2160149131874896) (0.42966885219731576, 0.6765641569459173)
51 (0.5637364649111124, 0.8154825026511134, 1.3805676099833413) (0.4252394531445868, 0.6638388123011665)
52 (0.5702381119158709, 0.8260869565217391, 1.3133161348534683) (0.438513325614109, 0.6786850477200425)
53 (0.5610983499998121, 0.8197242841993637, 1.3789808950243736) (0.4237280912280229, 0.6680805938494168)
54 (0.5681677811069753, 0.806998939554613, 1.3880559271744681) (0.4366295247718154, 0.6670201484623541)
55 (0.5645381868650974, 0.8123011664899258, 1.382588298845649) (0.4281125286053876, 0.6606574761399788)
56 (0.56848904996877, 0.8144220572640509, 1.4024121667305847) (0.42963592872902157, 0.6755037115588547)
57 (0.5738887125467126, 0.8112407211028632, 1.4344677939924113) (0.4305481634014847, 0.662778366914104)
58 (0.5768274758557227, 0.8271474019088016, 1.363776348302119) (0.4436767146920486, 0.6744432661717922)
59 (0.5666678564957583, 0.8154825026511134, 1.4284628131471313) (0.43519610108627294, 0.6691410392364793)
60 (0.5703502247720479, 0.8154825026511134, 1.5167700681955902) (0.4279878189637032, 0.6638388123011665)
61 (0.5686503999744057, 0.8197242841993637, 1.3718359816448085) (0.43511099366452505, 0.6638388123011665)
62 (0.5693425842222936, 0.8144220572640509, 1.5750990624175123) (0.4318624641940406, 0.6574761399787911)
63 (0.5747582536740344, 0.8165429480381761, 1.4130899462521014) (0.43913361284339725, 0.662778366914104)
64 (0.5689939088739214, 0.8154825026511134, 1.509844724458276) (0.43882212765313633, 0.6765641569459173)
65 (0.5637500710535935, 0.8123011664899258, 1.45155457880107) (0.43146514752462617, 0.6712619300106044)
66 (0.5709209321965101, 0.8154825026511134, 1.5847841770781257) (0.44035051808652376, 0.6659597030752916)
67 (0.5753759460556462, 0.8176033934252386, 1.507973126559454) (0.4331098415838904, 0.6595970307529162)
68 (0.576772899550893, 0.8144220572640509, 1.4910539520720725) (0.4296774110611522, 0.6659597030752916)
69 (0.5681647271916975, 0.8133616118769883, 1.5278805104812185) (0.43594377876086865, 0.6680805938494168)
70 (0.5730399280708683, 0.8250265111346765, 1.4878189769037233) (0.43001410155035463, 0.6648992576882291)
71 (0.5731577480436113, 0.8154825026511134, 1.5027279293851992) (0.43166256971606554, 0.6691410392364793)
72 (0.5653283951588357, 0.8027571580063627, 1.6368862634657044) (0.432993188377166, 0.6585365853658537)
73 (0.5624401191348418, 0.8006362672322376, 1.6550063775192594) (0.42691351081631074, 0.662778366914104)
73Early Stopping Triggered
