epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
5 (0.036056644088092435, 0.08059384941675504) (0.011886239654319366, 0.027571580063626724)
10 (0.14418482056656154, 0.28844114528101805) (0.08614334729124491, 0.18133616118769882)
15 (0.2764878671881529, 0.45493107104984093) (0.1703272381471918, 0.30010604453870626)
20 (0.3430195616855454, 0.5524920466595971) (0.21934876375483878, 0.38176033934252385)
25 (0.37821772526800734, 0.6055143160127253) (0.2547441718383557, 0.4369034994697773)
30 (0.41992702238034046, 0.6521739130434783) (0.28519130427704914, 0.48038176033934255)
35 (0.4291546203022906, 0.6829268292682927) (0.29029756827198333, 0.4984093319194062)
40 (0.44693659496742305, 0.7020148462354189) (0.3081411376924081, 0.5143160127253447)
45 (0.4725296169744292, 0.7168610816542949) (0.34084665250801494, 0.5556733828207847)
50 (0.4781513710544362, 0.735949098621421) (0.33394039655201135, 0.5514316012725344)
55 (0.496770489507114, 0.7582184517497349) (0.3567260457252782, 0.5970307529162248)
60 (0.5136731187986745, 0.7730646871686108) (0.3646177939432573, 0.6002120890774125)
65 (0.524107589664632, 0.7889713679745494) (0.38228525168260963, 0.6023329798515377)
70 (0.5451151639517888, 0.809119830328738) (0.40353295108146253, 0.6426299045599152)
75 (0.5553709423374011, 0.8080593849416755) (0.404565347206635, 0.6383881230116649)
80 (0.5391360196107012, 0.8038176033934252) (0.40734817249412986, 0.647932131495228)
85 (0.5572168212839442, 0.8123011664899258) (0.4141247089242517, 0.6468716861081655)
90 (0.562729439312964, 0.823966065747614) (0.4152841299923661, 0.6542948038176034)
95 (0.564751120761154, 0.8292682926829268) (0.4307490483347077, 0.6744432661717922)
100 (0.5688635169678353, 0.8313891834570519) (0.4274979089502644, 0.6564156945917285)
105 (0.5653116508241052, 0.8282078472958643) (0.43792562629728027, 0.6776246023329798)
110 (0.5651061980381988, 0.8197242841993637) (0.43268788443148914, 0.6935312831389183)
115 (0.5745196522687848, 0.8197242841993637) (0.43829026805502896, 0.6818663838812301)
120 (0.5828575078021015, 0.8366914103923648) (0.44586939744731735, 0.7020148462354189)
125 (0.5791744925578315, 0.8271474019088016) (0.45073643041939, 0.6818663838812301)
130 (0.5881422360640435, 0.8441145281018028) (0.4464804923935226, 0.6924708377518558)
135 (0.5885228615137672, 0.8282078472958643) (0.4418951205770488, 0.679745493107105)
140 (0.5781674257745597, 0.8409331919406151) (0.44869452783615804, 0.6998939554612937)
145 (0.5887770281258732, 0.8409331919406151) (0.4437214694022429, 0.689289501590668)
150 (0.5987474013723642, 0.8419936373276776) (0.460835364935521, 0.7030752916224814)
155 (0.5947333254511131, 0.8462354188759279) (0.45315899009963956, 0.689289501590668)
160 (0.5929410363868246, 0.8356309650053022) (0.44814153704034865, 0.6914103923647932)
165 (0.5910298191181697, 0.8409331919406151) (0.44311295937770506, 0.6829268292682927)
170 (0.5958206802631888, 0.8356309650053022) (0.44938233946550143, 0.6903499469777307)
175 (0.5967101893687551, 0.8525980911983033) (0.46055405302812585, 0.7083775185577943)
180 (0.6000992041154466, 0.8430540827147401) (0.4656444492085505, 0.6988335100742312)
185 (0.5978405671191752, 0.8451749734888653) (0.4720440359408406, 0.694591728525981)
190 (0.6017759852124411, 0.8579003181336161) (0.4578971854399256, 0.6998939554612937)
195 (0.6119246081455433, 0.855779427359491) (0.46136542476881187, 0.6956521739130435)
200 (0.6035319788892178, 0.8462354188759279) (0.4610856805800297, 0.7020148462354189)
